COMMUNITY_AREA,RACE,AGE,SEX,Count
CLEARING,BLK,20-29,M,1
CLEARING,BLK,30-39,M,2
CLEARING,BLK,40-49,M,1
CLEARING,WHI,20-29,M,3
CLEARING,WHI,30-39,M,4
CLEARING,WHI,60-69,F,1
CLEARING,WWH,0-19,F,1
CLEARING,WWH,0-19,M,6
CLEARING,WWH,20-29,M,7
CLEARING,WWH,30-39,M,3
CLEARING,WWH,40-49,M,1
DOUGLAS,API,0-19,M,1
DOUGLAS,API,20-29,M,1
DOUGLAS,BLK,0-19,F,12
DOUGLAS,BLK,0-19,M,60
DOUGLAS,BLK,0-19,UNKNOWN,1
DOUGLAS,BLK,20-29,F,8
DOUGLAS,BLK,20-29,M,101
DOUGLAS,BLK,30-39,F,8
DOUGLAS,BLK,30-39,M,50
DOUGLAS,BLK,40-49,F,3
DOUGLAS,BLK,40-49,M,17
DOUGLAS,BLK,50-59,F,2
DOUGLAS,BLK,50-59,M,8
DOUGLAS,BLK,60-69,F,3
DOUGLAS,BLK,60-69,M,5
DOUGLAS,BLK,70-79,F,1
DOUGLAS,BLK,80+,F,1
DOUGLAS,BLK,UNKNOWN,F,1
DOUGLAS,BLK,UNKNOWN,M,2
DOUGLAS,UNKNOWN,0-19,M,1
DOUGLAS,UNKNOWN,20-29,F,1
DOUGLAS,UNKNOWN,20-29,M,2
DOUGLAS,UNKNOWN,UNKNOWN,UNKNOWN,3
DOUGLAS,WBH,50-59,M,1
DOUGLAS,WWH,30-39,M,1
DUNNING,API,60-69,M,1
DUNNING,BLK,30-39,M,1
DUNNING,BLK,40-49,M,1
DUNNING,UNKNOWN,UNKNOWN,UNKNOWN,2
DUNNING,WBH,0-19,M,1
DUNNING,WBH,20-29,M,1
DUNNING,WHI,0-19,F,1
DUNNING,WHI,0-19,M,1
DUNNING,WHI,20-29,F,1
DUNNING,WHI,20-29,M,8
DUNNING,WHI,30-39,F,1
DUNNING,WHI,30-39,M,3
DUNNING,WHI,40-49,F,1
DUNNING,WHI,40-49,M,2
DUNNING,WHI,50-59,M,1
DUNNING,WHI,60-69,F,1
DUNNING,WHI,60-69,M,1
DUNNING,WHI,80+,F,1
DUNNING,WWH,0-19,F,1
DUNNING,WWH,0-19,M,2
DUNNING,WWH,20-29,F,1
DUNNING,WWH,20-29,M,12
DUNNING,WWH,30-39,F,1
DUNNING,WWH,30-39,M,6
DUNNING,WWH,40-49,M,4
DUNNING,WWH,50-59,M,1
EAST GARFIELD PARK,API,30-39,M,1
EAST GARFIELD PARK,API,50-59,M,1
EAST GARFIELD PARK,BLK,0-19,F,35
EAST GARFIELD PARK,BLK,0-19,M,242
EAST GARFIELD PARK,BLK,20-29,F,56
EAST GARFIELD PARK,BLK,20-29,M,568
EAST GARFIELD PARK,BLK,30-39,F,35
EAST GARFIELD PARK,BLK,30-39,M,309
EAST GARFIELD PARK,BLK,40-49,F,20
EAST GARFIELD PARK,BLK,40-49,M,121
EAST GARFIELD PARK,BLK,50-59,F,6
EAST GARFIELD PARK,BLK,50-59,M,45
EAST GARFIELD PARK,BLK,50-59,UNKNOWN,1
EAST GARFIELD PARK,BLK,60-69,F,4
EAST GARFIELD PARK,BLK,60-69,M,9
EAST GARFIELD PARK,BLK,70-79,F,2
EAST GARFIELD PARK,BLK,UNKNOWN,F,1
EAST GARFIELD PARK,BLK,UNKNOWN,M,2
EAST GARFIELD PARK,UNKNOWN,0-19,M,2
EAST GARFIELD PARK,UNKNOWN,20-29,F,3
EAST GARFIELD PARK,UNKNOWN,20-29,M,3
EAST GARFIELD PARK,UNKNOWN,30-39,F,4
EAST GARFIELD PARK,UNKNOWN,30-39,M,4
EAST GARFIELD PARK,UNKNOWN,40-49,M,1
EAST GARFIELD PARK,UNKNOWN,UNKNOWN,M,2
EAST GARFIELD PARK,UNKNOWN,UNKNOWN,UNKNOWN,20
EAST GARFIELD PARK,WBH,20-29,M,2
EAST GARFIELD PARK,WBH,30-39,M,1
EAST GARFIELD PARK,WBH,40-49,F,1
EAST GARFIELD PARK,WBH,60-69,M,1
EAST GARFIELD PARK,WHI,0-19,F,1
EAST GARFIELD PARK,WHI,20-29,M,3
EAST GARFIELD PARK,WHI,30-39,M,5
EAST GARFIELD PARK,WHI,50-59,M,2
EAST GARFIELD PARK,WHI,UNKNOWN,M,2
EAST GARFIELD PARK,WWH,0-19,F,2
EAST GARFIELD PARK,WWH,0-19,M,2
EAST GARFIELD PARK,WWH,20-29,F,1
EAST GARFIELD PARK,WWH,20-29,M,9
EAST GARFIELD PARK,WWH,30-39,F,2
EAST GARFIELD PARK,WWH,30-39,M,7
EAST GARFIELD PARK,WWH,40-49,M,5
EAST GARFIELD PARK,WWH,50-59,M,1
EAST SIDE,BLK,0-19,M,8
EAST SIDE,BLK,20-29,F,1
EAST SIDE,BLK,20-29,M,8
EAST SIDE,BLK,30-39,M,1
EAST SIDE,BLK,60-69,M,1
EAST SIDE,UNKNOWN,30-39,M,1
EAST SIDE,UNKNOWN,UNKNOWN,UNKNOWN,4
EAST SIDE,WBH,0-19,M,1
EAST SIDE,WBH,20-29,M,2
EAST SIDE,WBH,30-39,M,1
EAST SIDE,WHI,20-29,M,5
EAST SIDE,WHI,40-49,M,1
EAST SIDE,WHI,50-59,F,1
EAST SIDE,WHI,50-59,M,1
EAST SIDE,WHI,70-79,M,1
EAST SIDE,WWH,0-19,F,2
EAST SIDE,WWH,0-19,M,40
EAST SIDE,WWH,20-29,F,5
EAST SIDE,WWH,20-29,M,56
EAST SIDE,WWH,30-39,F,2
EAST SIDE,WWH,30-39,M,21
EAST SIDE,WWH,40-49,M,7
EAST SIDE,WWH,50-59,M,3
EAST SIDE,WWH,60-69,M,2
EDGEWATER,BLK,0-19,F,2
EDGEWATER,BLK,0-19,M,11
EDGEWATER,BLK,20-29,F,3
EDGEWATER,BLK,20-29,M,31
EDGEWATER,BLK,30-39,M,18
EDGEWATER,BLK,40-49,F,1
EDGEWATER,BLK,40-49,M,8
EDGEWATER,BLK,50-59,F,2
EDGEWATER,BLK,50-59,M,4
EDGEWATER,BLK,60-69,M,2
EDGEWATER,UNKNOWN,30-39,M,1
EDGEWATER,UNKNOWN,UNKNOWN,UNKNOWN,1
EDGEWATER,WBH,0-19,M,1
EDGEWATER,WBH,30-39,M,1
EDGEWATER,WHI,30-39,M,4
EDGEWATER,WHI,40-49,M,1
EDGEWATER,WHI,50-59,M,2
EDGEWATER,WHI,60-69,M,1
EDGEWATER,WHI,70-79,F,1
EDGEWATER,WWH,0-19,F,1
EDGEWATER,WWH,0-19,M,5
EDGEWATER,WWH,20-29,M,5
EDGEWATER,WWH,30-39,M,5
EDGEWATER,WWH,50-59,F,1
EDGEWATER,WWH,70-79,F,1
EDISON PARK,WHI,70-79,F,1
EDISON PARK,WWH,40-49,M,1
ENGLEWOOD,API,30-39,M,3
ENGLEWOOD,API,40-49,M,2
ENGLEWOOD,API,50-59,F,1
ENGLEWOOD,API,50-59,M,1
ENGLEWOOD,API,70-79,M,1
ENGLEWOOD,BLK,0-19,F,56
ENGLEWOOD,BLK,0-19,M,389
ENGLEWOOD,BLK,20-29,F,86
ENGLEWOOD,BLK,20-29,M,771
ENGLEWOOD,BLK,30-39,F,49
ENGLEWOOD,BLK,30-39,M,350
ENGLEWOOD,BLK,40-49,F,17
ENGLEWOOD,BLK,40-49,M,142
ENGLEWOOD,BLK,50-59,F,6
ENGLEWOOD,BLK,50-59,M,61
ENGLEWOOD,BLK,60-69,F,4
ENGLEWOOD,BLK,60-69,M,24
ENGLEWOOD,BLK,70-79,F,2
ENGLEWOOD,BLK,70-79,M,7
ENGLEWOOD,BLK,80+,F,1
ENGLEWOOD,BLK,80+,M,2
ENGLEWOOD,BLK,UNKNOWN,M,1
ENGLEWOOD,UNKNOWN,0-19,M,1
ENGLEWOOD,UNKNOWN,20-29,F,1
ENGLEWOOD,UNKNOWN,20-29,M,4
ENGLEWOOD,UNKNOWN,40-49,M,1
ENGLEWOOD,UNKNOWN,40-49,UNKNOWN,2
ENGLEWOOD,UNKNOWN,50-59,M,1
ENGLEWOOD,UNKNOWN,UNKNOWN,UNKNOWN,10
ENGLEWOOD,WBH,0-19,F,1
ENGLEWOOD,WBH,20-29,M,3
ENGLEWOOD,WBH,30-39,M,1
ENGLEWOOD,WHI,20-29,F,1
ENGLEWOOD,WHI,20-29,M,1
ENGLEWOOD,WHI,30-39,M,1
ENGLEWOOD,WHI,40-49,M,1
ENGLEWOOD,WHI,50-59,M,1
ENGLEWOOD,WHI,60-69,M,1
ENGLEWOOD,WWH,0-19,F,2
ENGLEWOOD,WWH,0-19,M,3
ENGLEWOOD,WWH,20-29,M,7
ENGLEWOOD,WWH,30-39,M,4
ENGLEWOOD,WWH,40-49,F,1
ENGLEWOOD,WWH,40-49,M,1
ENGLEWOOD,WWH,50-59,M,1
ENGLEWOOD,WWH,UNKNOWN,M,1
FOREST GLEN,API,20-29,M,1
FOREST GLEN,BLK,20-29,M,1
FOREST GLEN,BLK,40-49,M,1
FOREST GLEN,WHI,0-19,M,1
FOREST GLEN,WHI,20-29,M,1
FOREST GLEN,WHI,30-39,M,1
FOREST GLEN,WHI,50-59,M,1
FOREST GLEN,WHI,60-69,M,1
FOREST GLEN,WWH,20-29,M,1
FOREST GLEN,WWH,30-39,M,1
FULLER PARK,BLK,0-19,F,6
FULLER PARK,BLK,0-19,M,42
FULLER PARK,BLK,20-29,F,15
FULLER PARK,BLK,20-29,M,81
FULLER PARK,BLK,30-39,F,9
FULLER PARK,BLK,30-39,M,53
FULLER PARK,BLK,40-49,F,2
FULLER PARK,BLK,40-49,M,19
FULLER PARK,BLK,50-59,M,8
FULLER PARK,BLK,60-69,F,1
FULLER PARK,BLK,60-69,M,1
FULLER PARK,UNKNOWN,20-29,M,1
FULLER PARK,UNKNOWN,60-69,M,1
FULLER PARK,UNKNOWN,UNKNOWN,UNKNOWN,4
FULLER PARK,WBH,20-29,M,2
FULLER PARK,WHI,0-19,F,1
FULLER PARK,WHI,0-19,M,1
FULLER PARK,WHI,30-39,M,1
FULLER PARK,WHI,40-49,M,1
FULLER PARK,WHI,60-69,M,1
FULLER PARK,WWH,0-19,M,1
FULLER PARK,WWH,20-29,M,8
FULLER PARK,WWH,30-39,M,2
FULLER PARK,WWH,UNKNOWN,M,1
GAGE PARK,BLK,0-19,F,2
GAGE PARK,BLK,0-19,M,22
GAGE PARK,BLK,20-29,M,23
GAGE PARK,BLK,30-39,M,10
GAGE PARK,BLK,40-49,F,1
GAGE PARK,BLK,40-49,M,4
GAGE PARK,BLK,50-59,M,2
GAGE PARK,BLK,UNKNOWN,M,1
GAGE PARK,UNKNOWN,0-19,M,1
GAGE PARK,UNKNOWN,20-29,M,1
GAGE PARK,UNKNOWN,UNKNOWN,UNKNOWN,8
GAGE PARK,WBH,20-29,F,1
GAGE PARK,WBH,30-39,M,2
GAGE PARK,WBH,40-49,F,1
GAGE PARK,WHI,0-19,M,2
GAGE PARK,WHI,20-29,M,4
GAGE PARK,WHI,30-39,F,2
GAGE PARK,WHI,30-39,M,7
GAGE PARK,WHI,40-49,M,2
GAGE PARK,WHI,50-59,M,1
GAGE PARK,WHI,60-69,M,3
GAGE PARK,WWH,0-19,F,10
GAGE PARK,WWH,0-19,M,107
GAGE PARK,WWH,20-29,F,15
GAGE PARK,WWH,20-29,M,152
GAGE PARK,WWH,30-39,F,5
GAGE PARK,WWH,30-39,M,63
GAGE PARK,WWH,40-49,F,2
GAGE PARK,WWH,40-49,M,18
GAGE PARK,WWH,50-59,F,2
GAGE PARK,WWH,50-59,M,4
GAGE PARK,WWH,60-69,M,1
GAGE PARK,WWH,70-79,F,1
GAGE PARK,WWH,70-79,M,1
GARFIELD RIDGE,BLK,0-19,F,1
GARFIELD RIDGE,BLK,0-19,M,2
GARFIELD RIDGE,BLK,20-29,F,4
GARFIELD RIDGE,BLK,20-29,M,23
GARFIELD RIDGE,BLK,30-39,F,2
GARFIELD RIDGE,BLK,30-39,M,8
GARFIELD RIDGE,BLK,40-49,F,1
GARFIELD RIDGE,BLK,40-49,M,6
GARFIELD RIDGE,BLK,50-59,M,3
GARFIELD RIDGE,BLK,60-69,F,1
GARFIELD RIDGE,BLK,60-69,M,1
GARFIELD RIDGE,UNKNOWN,20-29,M,1
GARFIELD RIDGE,UNKNOWN,UNKNOWN,UNKNOWN,3
GARFIELD RIDGE,WHI,20-29,M,1
GARFIELD RIDGE,WHI,30-39,M,2
GARFIELD RIDGE,WHI,40-49,F,1
GARFIELD RIDGE,WHI,50-59,M,1
GARFIELD RIDGE,WHI,60-69,M,1
GARFIELD RIDGE,WHI,70-79,F,1
GARFIELD RIDGE,WWH,0-19,M,12
GARFIELD RIDGE,WWH,20-29,M,18
GARFIELD RIDGE,WWH,30-39,F,2
GARFIELD RIDGE,WWH,30-39,M,9
GARFIELD RIDGE,WWH,40-49,M,3
GARFIELD RIDGE,WWH,50-59,F,2
GARFIELD RIDGE,WWH,60-69,M,1
GRAND BOULEVARD,API,30-39,M,1
GRAND BOULEVARD,BLK,0-19,F,14
GRAND BOULEVARD,BLK,0-19,M,147
GRAND BOULEVARD,BLK,20-29,F,22
GRAND BOULEVARD,BLK,20-29,M,239
GRAND BOULEVARD,BLK,20-29,UNKNOWN,2
GRAND BOULEVARD,BLK,30-39,F,12
GRAND BOULEVARD,BLK,30-39,M,110
GRAND BOULEVARD,BLK,40-49,F,10
GRAND BOULEVARD,BLK,40-49,M,48
GRAND BOULEVARD,BLK,50-59,F,5
GRAND BOULEVARD,BLK,50-59,M,19
GRAND BOULEVARD,BLK,60-69,F,2
GRAND BOULEVARD,BLK,60-69,M,9
GRAND BOULEVARD,BLK,70-79,F,1
GRAND BOULEVARD,BLK,70-79,M,1
GRAND BOULEVARD,I,20-29,F,1
GRAND BOULEVARD,UNKNOWN,0-19,M,3
GRAND BOULEVARD,UNKNOWN,0-19,UNKNOWN,1
GRAND BOULEVARD,UNKNOWN,20-29,M,4
GRAND BOULEVARD,UNKNOWN,30-39,M,1
GRAND BOULEVARD,UNKNOWN,UNKNOWN,UNKNOWN,8
GRAND BOULEVARD,WBH,30-39,M,2
GRAND BOULEVARD,WHI,20-29,F,1
GRAND BOULEVARD,WHI,20-29,M,2
GRAND BOULEVARD,WHI,30-39,M,1
GRAND BOULEVARD,WWH,20-29,F,1
GRAND BOULEVARD,WWH,20-29,M,3
GRAND BOULEVARD,WWH,30-39,M,1
GRAND BOULEVARD,WWH,40-49,F,1
GRAND BOULEVARD,WWH,40-49,M,1
GREATER GRAND CROSSING,API,20-29,M,4
GREATER GRAND CROSSING,API,30-39,F,1
GREATER GRAND CROSSING,API,40-49,M,2
GREATER GRAND CROSSING,API,50-59,M,1
GREATER GRAND CROSSING,API,70-79,M,1
GREATER GRAND CROSSING,BLK,0-19,F,52
GREATER GRAND CROSSING,BLK,0-19,M,288
GREATER GRAND CROSSING,BLK,20-29,F,103
GREATER GRAND CROSSING,BLK,20-29,M,670
GREATER GRAND CROSSING,BLK,30-39,F,50
GREATER GRAND CROSSING,BLK,30-39,M,342
GREATER GRAND CROSSING,BLK,40-49,F,23
GREATER GRAND CROSSING,BLK,40-49,M,135
GREATER GRAND CROSSING,BLK,50-59,F,16
GREATER GRAND CROSSING,BLK,50-59,M,61
GREATER GRAND CROSSING,BLK,60-69,F,3
GREATER GRAND CROSSING,BLK,60-69,M,17
GREATER GRAND CROSSING,BLK,70-79,M,3
GREATER GRAND CROSSING,BLK,80+,F,1
GREATER GRAND CROSSING,BLK,UNKNOWN,F,1
GREATER GRAND CROSSING,BLK,UNKNOWN,M,1
GREATER GRAND CROSSING,UNKNOWN,0-19,F,3
GREATER GRAND CROSSING,UNKNOWN,0-19,M,2
GREATER GRAND CROSSING,UNKNOWN,0-19,UNKNOWN,2
GREATER GRAND CROSSING,UNKNOWN,20-29,F,1
GREATER GRAND CROSSING,UNKNOWN,20-29,M,2
GREATER GRAND CROSSING,UNKNOWN,20-29,UNKNOWN,1
GREATER GRAND CROSSING,UNKNOWN,30-39,F,2
GREATER GRAND CROSSING,UNKNOWN,30-39,M,4
GREATER GRAND CROSSING,UNKNOWN,30-39,UNKNOWN,1
GREATER GRAND CROSSING,UNKNOWN,40-49,M,2
GREATER GRAND CROSSING,UNKNOWN,40-49,UNKNOWN,1
GREATER GRAND CROSSING,UNKNOWN,UNKNOWN,UNKNOWN,14
GREATER GRAND CROSSING,WBH,20-29,M,3
GREATER GRAND CROSSING,WBH,30-39,F,1
GREATER GRAND CROSSING,WHI,20-29,M,3
GREATER GRAND CROSSING,WHI,30-39,M,2
GREATER GRAND CROSSING,WHI,40-49,M,3
GREATER GRAND CROSSING,WHI,50-59,M,1
GREATER GRAND CROSSING,WHI,60-69,M,2
GREATER GRAND CROSSING,WWH,0-19,M,2
GREATER GRAND CROSSING,WWH,20-29,F,2
GREATER GRAND CROSSING,WWH,20-29,M,5
GREATER GRAND CROSSING,WWH,30-39,M,3
GREATER GRAND CROSSING,WWH,40-49,M,1
GREATER GRAND CROSSING,WWH,50-59,F,1
GREATER GRAND CROSSING,WWH,50-59,M,1
GREATER GRAND CROSSING,WWH,70-79,M,1
HEGEWISCH,BLK,20-29,M,6
HEGEWISCH,BLK,30-39,M,4
HEGEWISCH,BLK,40-49,UNKNOWN,1
HEGEWISCH,UNKNOWN,20-29,M,1
HEGEWISCH,UNKNOWN,UNKNOWN,UNKNOWN,1
HEGEWISCH,WHI,0-19,F,1
HEGEWISCH,WHI,20-29,F,1
HEGEWISCH,WHI,40-49,M,1
HEGEWISCH,WHI,50-59,F,1
HEGEWISCH,WHI,50-59,M,3
HEGEWISCH,WHI,70-79,F,1
HEGEWISCH,WHI,70-79,M,1
HEGEWISCH,WWH,0-19,M,3
HEGEWISCH,WWH,20-29,F,1
HEGEWISCH,WWH,20-29,M,6
HEGEWISCH,WWH,30-39,F,1
HEGEWISCH,WWH,30-39,M,4
HEGEWISCH,WWH,40-49,F,1
HEGEWISCH,WWH,40-49,M,1
HERMOSA,API,20-29,M,2
HERMOSA,BLK,0-19,F,1
HERMOSA,BLK,0-19,M,6
HERMOSA,BLK,20-29,F,1
HERMOSA,BLK,20-29,M,9
HERMOSA,BLK,30-39,M,8
HERMOSA,UNKNOWN,0-19,F,1
HERMOSA,UNKNOWN,20-29,F,1
HERMOSA,UNKNOWN,20-29,M,2
HERMOSA,UNKNOWN,UNKNOWN,UNKNOWN,5
HERMOSA,WBH,0-19,F,1
HERMOSA,WBH,0-19,M,1
HERMOSA,WBH,20-29,F,1
HERMOSA,WBH,20-29,M,3
HERMOSA,WBH,30-39,M,3
HERMOSA,WHI,0-19,M,1
HERMOSA,WHI,20-29,M,4
HERMOSA,WHI,30-39,M,3
HERMOSA,WWH,0-19,F,9
HERMOSA,WWH,0-19,M,40
HERMOSA,WWH,20-29,F,8
HERMOSA,WWH,20-29,M,61
HERMOSA,WWH,30-39,M,23
HERMOSA,WWH,40-49,M,10
HERMOSA,WWH,50-59,F,1
HERMOSA,WWH,50-59,M,4
HERMOSA,WWH,60-69,M,2
HERMOSA,WWH,70-79,M,1
HUMBOLDT PARK,API,0-19,M,1
HUMBOLDT PARK,API,20-29,M,2
HUMBOLDT PARK,API,30-39,M,2
HUMBOLDT PARK,API,50-59,M,1
HUMBOLDT PARK,BLK,0-19,F,27
HUMBOLDT PARK,BLK,0-19,M,259
HUMBOLDT PARK,BLK,20-29,F,67
HUMBOLDT PARK,BLK,20-29,M,578
HUMBOLDT PARK,BLK,30-39,F,27
HUMBOLDT PARK,BLK,30-39,M,301
HUMBOLDT PARK,BLK,40-49,F,8
HUMBOLDT PARK,BLK,40-49,M,91
HUMBOLDT PARK,BLK,50-59,F,6
HUMBOLDT PARK,BLK,50-59,M,29
HUMBOLDT PARK,BLK,60-69,F,1
HUMBOLDT PARK,BLK,60-69,M,11
HUMBOLDT PARK,BLK,70-79,F,2
HUMBOLDT PARK,BLK,70-79,M,4
HUMBOLDT PARK,BLK,UNKNOWN,M,2
HUMBOLDT PARK,UNKNOWN,0-19,F,1
HUMBOLDT PARK,UNKNOWN,0-19,M,5
HUMBOLDT PARK,UNKNOWN,0-19,UNKNOWN,1
HUMBOLDT PARK,UNKNOWN,20-29,F,1
HUMBOLDT PARK,UNKNOWN,20-29,M,7
HUMBOLDT PARK,UNKNOWN,20-29,UNKNOWN,3
HUMBOLDT PARK,UNKNOWN,30-39,F,1
HUMBOLDT PARK,UNKNOWN,30-39,M,8
HUMBOLDT PARK,UNKNOWN,40-49,M,1
HUMBOLDT PARK,UNKNOWN,UNKNOWN,UNKNOWN,31
HUMBOLDT PARK,WBH,0-19,M,12
HUMBOLDT PARK,WBH,20-29,F,2
HUMBOLDT PARK,WBH,20-29,M,12
HUMBOLDT PARK,WBH,30-39,M,8
HUMBOLDT PARK,WBH,40-49,F,1
HUMBOLDT PARK,WBH,40-49,M,4
HUMBOLDT PARK,WHI,0-19,F,1
HUMBOLDT PARK,WHI,0-19,M,1
HUMBOLDT PARK,WHI,20-29,F,1
HUMBOLDT PARK,WHI,20-29,M,10
HUMBOLDT PARK,WHI,30-39,F,5
HUMBOLDT PARK,WHI,30-39,M,20
HUMBOLDT PARK,WHI,40-49,F,3
HUMBOLDT PARK,WHI,40-49,M,5
HUMBOLDT PARK,WHI,50-59,F,1
HUMBOLDT PARK,WHI,50-59,M,2
HUMBOLDT PARK,WHI,60-69,M,1
HUMBOLDT PARK,WWH,0-19,F,24
HUMBOLDT PARK,WWH,0-19,M,112
HUMBOLDT PARK,WWH,20-29,F,37
HUMBOLDT PARK,WWH,20-29,M,193
HUMBOLDT PARK,WWH,30-39,F,16
HUMBOLDT PARK,WWH,30-39,M,92
HUMBOLDT PARK,WWH,40-49,F,6
HUMBOLDT PARK,WWH,40-49,M,31
HUMBOLDT PARK,WWH,50-59,F,2
HUMBOLDT PARK,WWH,50-59,M,13
HUMBOLDT PARK,WWH,60-69,F,1
HUMBOLDT PARK,WWH,60-69,M,6
