COMMUNITY_AREA,RACE,AGE,SEX,Count
NEW CITY,UNKNOWN,20-29,UNKNOWN,1
NEW CITY,UNKNOWN,30-39,M,1
NEW CITY,UNKNOWN,30-39,UNKNOWN,1
NEW CITY,UNKNOWN,UNKNOWN,UNKNOWN,12
NEW CITY,WBH,0-19,M,1
NEW CITY,WBH,20-29,F,2
NEW CITY,WBH,20-29,M,7
NEW CITY,WBH,30-39,F,1
NEW CITY,WBH,30-39,M,3
NEW CITY,WBH,40-49,M,1
NEW CITY,WHI,0-19,F,3
NEW CITY,WHI,0-19,M,18
NEW CITY,WHI,20-29,F,3
NEW CITY,WHI,20-29,M,24
NEW CITY,WHI,30-39,F,1
NEW CITY,WHI,30-39,M,7
NEW CITY,WHI,40-49,F,2
NEW CITY,WHI,40-49,M,4
NEW CITY,WHI,50-59,F,1
NEW CITY,WHI,50-59,M,3
NEW CITY,WHI,60-69,M,3
NEW CITY,WHI,80+,M,1
NEW CITY,WHI,UNKNOWN,M,2
NEW CITY,WWH,0-19,F,17
NEW CITY,WWH,0-19,M,157
NEW CITY,WWH,20-29,F,28
NEW CITY,WWH,20-29,M,215
NEW CITY,WWH,20-29,UNKNOWN,1
NEW CITY,WWH,30-39,F,10
NEW CITY,WWH,30-39,M,104
NEW CITY,WWH,40-49,F,3
NEW CITY,WWH,40-49,M,37
NEW CITY,WWH,50-59,F,4
NEW CITY,WWH,50-59,M,13
NEW CITY,WWH,60-69,F,1
NEW CITY,WWH,60-69,M,4
NEW CITY,WWH,UNKNOWN,M,1
NORTH CENTER,API,0-19,M,1
NORTH CENTER,API,30-39,M,2
NORTH CENTER,BLK,20-29,F,1
NORTH CENTER,BLK,20-29,M,4
NORTH CENTER,BLK,30-39,M,1
NORTH CENTER,BLK,40-49,M,1
NORTH CENTER,UNKNOWN,UNKNOWN,UNKNOWN,2
NORTH CENTER,WBH,20-29,M,1
NORTH CENTER,WHI,20-29,M,2
NORTH CENTER,WHI,30-39,M,3
NORTH CENTER,WHI,50-59,M,1
NORTH CENTER,WWH,0-19,M,3
NORTH CENTER,WWH,20-29,F,1
NORTH CENTER,WWH,20-29,M,7
NORTH CENTER,WWH,30-39,M,1
NORTH LAWNDALE,API,20-29,M,2
NORTH LAWNDALE,API,30-39,M,1
NORTH LAWNDALE,API,40-49,F,1
NORTH LAWNDALE,API,50-59,M,1
NORTH LAWNDALE,BLK,0-19,F,60
NORTH LAWNDALE,BLK,0-19,M,507
NORTH LAWNDALE,BLK,20-29,F,105
NORTH LAWNDALE,BLK,20-29,M,807
NORTH LAWNDALE,BLK,30-39,F,73
NORTH LAWNDALE,BLK,30-39,M,396
NORTH LAWNDALE,BLK,40-49,F,20
NORTH LAWNDALE,BLK,40-49,M,109
NORTH LAWNDALE,BLK,50-59,F,10
NORTH LAWNDALE,BLK,50-59,M,46
NORTH LAWNDALE,BLK,60-69,F,3
NORTH LAWNDALE,BLK,60-69,M,16
NORTH LAWNDALE,BLK,70-79,M,7
NORTH LAWNDALE,BLK,80+,F,1
NORTH LAWNDALE,BLK,80+,M,2
NORTH LAWNDALE,BLK,UNKNOWN,F,1
NORTH LAWNDALE,BLK,UNKNOWN,M,2
NORTH LAWNDALE,UNKNOWN,0-19,F,2
NORTH LAWNDALE,UNKNOWN,0-19,M,5
NORTH LAWNDALE,UNKNOWN,20-29,F,1
NORTH LAWNDALE,UNKNOWN,20-29,M,8
NORTH LAWNDALE,UNKNOWN,20-29,UNKNOWN,1
NORTH LAWNDALE,UNKNOWN,30-39,M,5
NORTH LAWNDALE,UNKNOWN,40-49,UNKNOWN,1
NORTH LAWNDALE,UNKNOWN,50-59,M,3
NORTH LAWNDALE,UNKNOWN,60-69,F,1
NORTH LAWNDALE,UNKNOWN,UNKNOWN,UNKNOWN,27
NORTH LAWNDALE,WBH,20-29,F,1
NORTH LAWNDALE,WBH,20-29,M,6
NORTH LAWNDALE,WBH,30-39,F,1
NORTH LAWNDALE,WBH,30-39,M,3
NORTH LAWNDALE,WHI,0-19,F,1
NORTH LAWNDALE,WHI,0-19,M,1
NORTH LAWNDALE,WHI,20-29,F,1
NORTH LAWNDALE,WHI,20-29,M,4
NORTH LAWNDALE,WHI,30-39,F,3
NORTH LAWNDALE,WHI,30-39,M,6
NORTH LAWNDALE,WHI,40-49,F,1
NORTH LAWNDALE,WHI,40-49,M,4
NORTH LAWNDALE,WHI,60-69,M,1
NORTH LAWNDALE,WHI,UNKNOWN,M,1
NORTH LAWNDALE,WWH,0-19,F,3
NORTH LAWNDALE,WWH,0-19,M,7
NORTH LAWNDALE,WWH,20-29,F,2
NORTH LAWNDALE,WWH,20-29,M,28
NORTH LAWNDALE,WWH,30-39,F,1
NORTH LAWNDALE,WWH,30-39,M,12
NORTH LAWNDALE,WWH,40-49,F,1
NORTH LAWNDALE,WWH,40-49,M,11
NORTH LAWNDALE,WWH,50-59,F,1
NORTH LAWNDALE,WWH,60-69,M,2
NORTH PARK,API,0-19,M,1
NORTH PARK,API,40-49,M,1
NORTH PARK,BLK,0-19,F,1
NORTH PARK,BLK,0-19,M,1
NORTH PARK,BLK,20-29,M,4
NORTH PARK,BLK,30-39,M,3
NORTH PARK,BLK,40-49,M,2
NORTH PARK,WBH,20-29,M,1
NORTH PARK,WHI,20-29,M,4
NORTH PARK,WHI,30-39,F,2
NORTH PARK,WHI,30-39,M,1
NORTH PARK,WWH,0-19,F,1
NORTH PARK,WWH,0-19,M,6
NORTH PARK,WWH,20-29,M,7
NORTH PARK,WWH,30-39,F,1
NORTH PARK,WWH,30-39,M,4
NORTH PARK,WWH,40-49,M,3
NORTH PARK,WWH,50-59,M,1
NORWOOD PARK,API,20-29,M,1
NORWOOD PARK,API,30-39,M,1
NORWOOD PARK,WBH,20-29,M,1
NORWOOD PARK,WHI,0-19,M,1
NORWOOD PARK,WHI,20-29,M,1
NORWOOD PARK,WHI,30-39,M,1
NORWOOD PARK,WHI,40-49,M,3
NORWOOD PARK,WHI,70-79,M,1
NORWOOD PARK,WWH,0-19,M,1
NORWOOD PARK,WWH,20-29,F,1
NORWOOD PARK,WWH,30-39,F,1
NORWOOD PARK,WWH,40-49,M,2
OAKLAND,BLK,0-19,F,6
OAKLAND,BLK,0-19,M,24
OAKLAND,BLK,20-29,F,7
OAKLAND,BLK,20-29,M,39
OAKLAND,BLK,30-39,F,4
OAKLAND,BLK,30-39,M,18
OAKLAND,BLK,40-49,F,4
OAKLAND,BLK,40-49,M,6
OAKLAND,BLK,50-59,M,2
OAKLAND,BLK,60-69,F,1
OAKLAND,BLK,60-69,M,1
OAKLAND,UNKNOWN,40-49,M,1
OAKLAND,UNKNOWN,UNKNOWN,M,1
OAKLAND,UNKNOWN,UNKNOWN,UNKNOWN,1
OAKLAND,WWH,0-19,M,1
OHARE,BLK,20-29,M,1
OHARE,WHI,20-29,M,1
OHARE,WHI,30-39,M,1
OHARE,WHI,40-49,M,1
OHARE,WHI,50-59,F,1
PORTAGE PARK,API,20-29,M,1
PORTAGE PARK,API,30-39,F,1
PORTAGE PARK,BLK,0-19,F,1
PORTAGE PARK,BLK,0-19,M,3
PORTAGE PARK,BLK,20-29,M,9
PORTAGE PARK,BLK,30-39,M,2
PORTAGE PARK,BLK,60-69,F,1
PORTAGE PARK,UNKNOWN,20-29,M,1
PORTAGE PARK,UNKNOWN,30-39,M,1
PORTAGE PARK,UNKNOWN,UNKNOWN,UNKNOWN,4
PORTAGE PARK,WBH,20-29,M,3
PORTAGE PARK,WBH,30-39,M,1
PORTAGE PARK,WHI,0-19,F,1
PORTAGE PARK,WHI,0-19,M,3
PORTAGE PARK,WHI,20-29,M,9
PORTAGE PARK,WHI,30-39,M,10
PORTAGE PARK,WHI,40-49,M,3
PORTAGE PARK,WHI,50-59,M,2
PORTAGE PARK,WHI,60-69,F,1
PORTAGE PARK,WHI,60-69,M,1
PORTAGE PARK,WHI,70-79,M,1
PORTAGE PARK,WHI,UNKNOWN,M,1
PORTAGE PARK,WWH,0-19,F,3
PORTAGE PARK,WWH,0-19,M,21
PORTAGE PARK,WWH,20-29,F,6
PORTAGE PARK,WWH,20-29,M,60
PORTAGE PARK,WWH,30-39,F,3
PORTAGE PARK,WWH,30-39,M,20
PORTAGE PARK,WWH,40-49,M,9
PORTAGE PARK,WWH,50-59,M,1
PORTAGE PARK,WWH,60-69,M,1
PULLMAN,API,50-59,F,1
PULLMAN,BLK,0-19,F,2
PULLMAN,BLK,0-19,M,18
PULLMAN,BLK,20-29,F,8
PULLMAN,BLK,20-29,M,59
PULLMAN,BLK,30-39,F,3
PULLMAN,BLK,30-39,M,33
PULLMAN,BLK,40-49,F,2
PULLMAN,BLK,40-49,M,18
PULLMAN,BLK,50-59,M,3
PULLMAN,BLK,60-69,M,3
PULLMAN,BLK,80+,M,1
PULLMAN,UNKNOWN,0-19,UNKNOWN,1
PULLMAN,UNKNOWN,20-29,M,1
PULLMAN,UNKNOWN,UNKNOWN,UNKNOWN,3
PULLMAN,WBH,0-19,M,1
PULLMAN,WHI,0-19,M,1
PULLMAN,WWH,30-39,M,1
PULLMAN,WWH,40-49,M,1
PULLMAN,WWH,50-59,M,1
RIVERDALE,BLK,0-19,F,5
RIVERDALE,BLK,0-19,M,88
RIVERDALE,BLK,20-29,F,15
RIVERDALE,BLK,20-29,M,113
RIVERDALE,BLK,30-39,F,12
RIVERDALE,BLK,30-39,M,64
RIVERDALE,BLK,40-49,F,2
RIVERDALE,BLK,40-49,M,38
RIVERDALE,BLK,50-59,F,5
RIVERDALE,BLK,50-59,M,4
RIVERDALE,BLK,60-69,F,4
RIVERDALE,BLK,60-69,M,1
RIVERDALE,BLK,70-79,M,1
RIVERDALE,BLK,UNKNOWN,F,1
RIVERDALE,UNKNOWN,0-19,M,3
RIVERDALE,UNKNOWN,20-29,M,2
RIVERDALE,UNKNOWN,30-39,M,1
RIVERDALE,UNKNOWN,UNKNOWN,UNKNOWN,6
RIVERDALE,WBH,20-29,M,1
RIVERDALE,WHI,20-29,M,2
RIVERDALE,WHI,30-39,F,1
RIVERDALE,WHI,30-39,M,1
RIVERDALE,WHI,40-49,M,1
RIVERDALE,WHI,UNKNOWN,M,1
RIVERDALE,WWH,20-29,M,1
RIVERDALE,WWH,30-39,M,1
ROGERS PARK,API,0-19,M,1
ROGERS PARK,API,20-29,M,1
ROGERS PARK,API,70-79,M,1
ROGERS PARK,BLK,0-19,F,5
ROGERS PARK,BLK,0-19,M,64
ROGERS PARK,BLK,20-29,F,12
ROGERS PARK,BLK,20-29,M,109
ROGERS PARK,BLK,30-39,F,8
ROGERS PARK,BLK,30-39,M,63
ROGERS PARK,BLK,30-39,UNKNOWN,1
ROGERS PARK,BLK,40-49,F,1
ROGERS PARK,BLK,40-49,M,19
ROGERS PARK,BLK,50-59,F,1
ROGERS PARK,BLK,50-59,M,4
ROGERS PARK,BLK,60-69,F,2
ROGERS PARK,BLK,60-69,M,2
ROGERS PARK,BLK,70-79,M,1
ROGERS PARK,BLK,UNKNOWN,M,1
ROGERS PARK,UNKNOWN,0-19,M,1
ROGERS PARK,UNKNOWN,40-49,M,1
ROGERS PARK,UNKNOWN,UNKNOWN,UNKNOWN,6
ROGERS PARK,WBH,20-29,F,1
ROGERS PARK,WBH,20-29,M,2
ROGERS PARK,WHI,0-19,F,1
ROGERS PARK,WHI,0-19,M,3
ROGERS PARK,WHI,20-29,F,1
ROGERS PARK,WHI,20-29,M,6
ROGERS PARK,WHI,30-39,F,2
ROGERS PARK,WHI,30-39,M,2
ROGERS PARK,WHI,40-49,M,4
ROGERS PARK,WHI,50-59,F,1
ROGERS PARK,WHI,50-59,M,1
ROGERS PARK,WHI,60-69,F,1
ROGERS PARK,WWH,0-19,F,2
ROGERS PARK,WWH,0-19,M,18
ROGERS PARK,WWH,20-29,F,3
ROGERS PARK,WWH,20-29,M,20
ROGERS PARK,WWH,30-39,M,10
ROGERS PARK,WWH,40-49,F,1
ROGERS PARK,WWH,40-49,M,3
ROGERS PARK,WWH,50-59,F,2
ROGERS PARK,WWH,50-59,M,2
ROGERS PARK,WWH,60-69,M,1
ROSELAND,API,0-19,M,1
ROSELAND,API,20-29,M,3
ROSELAND,API,30-39,M,2
ROSELAND,API,40-49,M,1
ROSELAND,API,50-59,M,2
ROSELAND,BLK,0-19,F,45
ROSELAND,BLK,0-19,M,336
ROSELAND,BLK,0-19,UNKNOWN,2
ROSELAND,BLK,20-29,F,89
ROSELAND,BLK,20-29,M,633
ROSELAND,BLK,30-39,F,44
ROSELAND,BLK,30-39,M,259
ROSELAND,BLK,30-39,UNKNOWN,2
ROSELAND,BLK,40-49,F,24
ROSELAND,BLK,40-49,M,108
ROSELAND,BLK,50-59,F,13
ROSELAND,BLK,50-59,M,55
ROSELAND,BLK,60-69,F,8
ROSELAND,BLK,60-69,M,15
ROSELAND,BLK,70-79,F,2
ROSELAND,BLK,70-79,M,4
ROSELAND,BLK,80+,F,1
ROSELAND,BLK,UNKNOWN,M,6
ROSELAND,UNKNOWN,0-19,M,4
ROSELAND,UNKNOWN,0-19,UNKNOWN,1
ROSELAND,UNKNOWN,20-29,F,1
ROSELAND,UNKNOWN,20-29,M,3
ROSELAND,UNKNOWN,20-29,UNKNOWN,1
ROSELAND,UNKNOWN,30-39,F,1
ROSELAND,UNKNOWN,30-39,M,1
ROSELAND,UNKNOWN,40-49,F,1
ROSELAND,UNKNOWN,40-49,M,1
ROSELAND,UNKNOWN,50-59,M,1
ROSELAND,UNKNOWN,UNKNOWN,UNKNOWN,52
ROSELAND,WBH,0-19,F,1
ROSELAND,WBH,0-19,M,1
ROSELAND,WBH,20-29,M,1
ROSELAND,WBH,30-39,M,1
ROSELAND,WHI,0-19,F,2
ROSELAND,WHI,20-29,M,1
ROSELAND,WHI,30-39,F,1
ROSELAND,WHI,30-39,M,1
ROSELAND,WHI,40-49,F,1
ROSELAND,WHI,40-49,M,1
ROSELAND,WHI,50-59,M,2
ROSELAND,WWH,0-19,F,2
ROSELAND,WWH,0-19,M,1
ROSELAND,WWH,20-29,F,3
ROSELAND,WWH,20-29,M,1
ROSELAND,WWH,30-39,M,2
ROSELAND,WWH,40-49,F,1
ROSELAND,WWH,40-49,M,1
ROSELAND,WWH,50-59,M,1
SOUTH CHICAGO,API,20-29,M,1
SOUTH CHICAGO,API,30-39,M,1
SOUTH CHICAGO,BLK,0-19,F,40
SOUTH CHICAGO,BLK,0-19,M,229
SOUTH CHICAGO,BLK,20-29,F,54
SOUTH CHICAGO,BLK,20-29,M,323
SOUTH CHICAGO,BLK,30-39,F,17
SOUTH CHICAGO,BLK,30-39,M,161
SOUTH CHICAGO,BLK,40-49,F,12
SOUTH CHICAGO,BLK,40-49,M,70
SOUTH CHICAGO,BLK,50-59,F,10
SOUTH CHICAGO,BLK,50-59,M,27
SOUTH CHICAGO,BLK,60-69,F,1
SOUTH CHICAGO,BLK,60-69,M,11
SOUTH CHICAGO,BLK,70-79,F,1
SOUTH CHICAGO,BLK,80+,M,1
SOUTH CHICAGO,BLK,UNKNOWN,M,1
SOUTH CHICAGO,I,20-29,M,1
SOUTH CHICAGO,UNKNOWN,0-19,M,1
SOUTH CHICAGO,UNKNOWN,20-29,M,2
SOUTH CHICAGO,UNKNOWN,20-29,UNKNOWN,1
SOUTH CHICAGO,UNKNOWN,30-39,F,1
SOUTH CHICAGO,UNKNOWN,30-39,M,1
SOUTH CHICAGO,UNKNOWN,UNKNOWN,UNKNOWN,7
SOUTH CHICAGO,WBH,20-29,M,1
SOUTH CHICAGO,WBH,30-39,M,2
SOUTH CHICAGO,WHI,0-19,M,2
SOUTH CHICAGO,WHI,20-29,F,1
SOUTH CHICAGO,WHI,30-39,M,1
SOUTH CHICAGO,WHI,40-49,M,3
SOUTH CHICAGO,WWH,0-19,F,5
SOUTH CHICAGO,WWH,0-19,M,18
SOUTH CHICAGO,WWH,20-29,F,4
SOUTH CHICAGO,WWH,20-29,M,38
SOUTH CHICAGO,WWH,30-39,F,2
SOUTH CHICAGO,WWH,30-39,M,16
SOUTH CHICAGO,WWH,40-49,F,1
SOUTH CHICAGO,WWH,40-49,M,7
SOUTH CHICAGO,WWH,50-59,M,4
SOUTH CHICAGO,WWH,60-69,M,1
SOUTH DEERING,API,20-29,M,1
SOUTH DEERING,BLK,0-19,F,9
SOUTH DEERING,BLK,0-19,M,80
SOUTH DEERING,BLK,20-29,F,6
SOUTH DEERING,BLK,20-29,M,130
SOUTH DEERING,BLK,30-39,F,12
SOUTH DEERING,BLK,30-39,M,56
SOUTH DEERING,BLK,40-49,F,4
SOUTH DEERING,BLK,40-49,M,16
SOUTH DEERING,BLK,50-59,F,5
SOUTH DEERING,BLK,50-59,M,9
SOUTH DEERING,BLK,60-69,M,2
SOUTH DEERING,BLK,70-79,M,1
SOUTH DEERING,UNKNOWN,UNKNOWN,UNKNOWN,5
SOUTH DEERING,WBH,0-19,M,1
SOUTH DEERING,WBH,20-29,M,1
SOUTH DEERING,WBH,30-39,M,1
SOUTH DEERING,WHI,0-19,M,1
SOUTH DEERING,WHI,20-29,M,2
SOUTH DEERING,WHI,40-49,M,1
SOUTH DEERING,WWH,0-19,F,1
SOUTH DEERING,WWH,0-19,M,7
SOUTH DEERING,WWH,20-29,M,20
SOUTH DEERING,WWH,30-39,F,2
SOUTH DEERING,WWH,30-39,M,10
SOUTH DEERING,WWH,40-49,F,1
SOUTH DEERING,WWH,40-49,M,3
SOUTH DEERING,WWH,50-59,M,3
SOUTH LAWNDALE,API,20-29,M,2
SOUTH LAWNDALE,BLK,0-19,F,4
SOUTH LAWNDALE,BLK,0-19,M,23
SOUTH LAWNDALE,BLK,20-29,F,9
SOUTH LAWNDALE,BLK,20-29,M,44
SOUTH LAWNDALE,BLK,30-39,F,1
SOUTH LAWNDALE,BLK,30-39,M,19
SOUTH LAWNDALE,BLK,40-49,M,7
SOUTH LAWNDALE,BLK,50-59,M,2
SOUTH LAWNDALE,BLK,60-69,F,1
SOUTH LAWNDALE,BLK,60-69,M,2
SOUTH LAWNDALE,UNKNOWN,0-19,F,1
SOUTH LAWNDALE,UNKNOWN,0-19,M,3
SOUTH LAWNDALE,UNKNOWN,20-29,F,1
SOUTH LAWNDALE,UNKNOWN,20-29,M,3
SOUTH LAWNDALE,UNKNOWN,30-39,F,2
SOUTH LAWNDALE,UNKNOWN,30-39,M,2
SOUTH LAWNDALE,UNKNOWN,40-49,F,1
SOUTH LAWNDALE,UNKNOWN,UNKNOWN,F,1
SOUTH LAWNDALE,UNKNOWN,UNKNOWN,UNKNOWN,17
SOUTH LAWNDALE,WBH,0-19,M,4
SOUTH LAWNDALE,WBH,20-29,F,1
SOUTH LAWNDALE,WBH,20-29,M,6
SOUTH LAWNDALE,WBH,30-39,F,1
SOUTH LAWNDALE,WBH,30-39,M,5
SOUTH LAWNDALE,WBH,40-49,F,1
SOUTH LAWNDALE,WBH,40-49,M,1
SOUTH LAWNDALE,WBH,50-59,M,1
SOUTH LAWNDALE,WHI,0-19,F,3
SOUTH LAWNDALE,WHI,0-19,M,3
SOUTH LAWNDALE,WHI,20-29,F,3
SOUTH LAWNDALE,WHI,20-29,M,17
SOUTH LAWNDALE,WHI,30-39,F,4
SOUTH LAWNDALE,WHI,30-39,M,6
SOUTH LAWNDALE,WHI,40-49,M,1
SOUTH LAWNDALE,WHI,50-59,M,1
SOUTH LAWNDALE,WWH,0-19,F,28
SOUTH LAWNDALE,WWH,0-19,M,249
SOUTH LAWNDALE,WWH,20-29,F,40
SOUTH LAWNDALE,WWH,20-29,M,375
SOUTH LAWNDALE,WWH,30-39,F,19
SOUTH LAWNDALE,WWH,30-39,M,177
SOUTH LAWNDALE,WWH,40-49,F,10
SOUTH LAWNDALE,WWH,40-49,M,62
SOUTH LAWNDALE,WWH,50-59,F,4
SOUTH LAWNDALE,WWH,50-59,M,23
SOUTH LAWNDALE,WWH,60-69,M,7
SOUTH LAWNDALE,WWH,70-79,M,1
SOUTH LAWNDALE,WWH,UNKNOWN,M,1
SOUTH SHORE,API,20-29,F,1
SOUTH SHORE,API,20-29,M,2
SOUTH SHORE,API,40-49,M,1
SOUTH SHORE,BLK,0-19,F,46
SOUTH SHORE,BLK,0-19,M,378
SOUTH SHORE,BLK,20-29,F,105
SOUTH SHORE,BLK,20-29,M,651
SOUTH SHORE,BLK,30-39,F,35
SOUTH SHORE,BLK,30-39,M,302
SOUTH SHORE,BLK,40-49,F,22
SOUTH SHORE,BLK,40-49,M,110
SOUTH SHORE,BLK,40-49,UNKNOWN,1
SOUTH SHORE,BLK,50-59,F,12
SOUTH SHORE,BLK,50-59,M,59
SOUTH SHORE,BLK,60-69,F,6
SOUTH SHORE,BLK,60-69,M,21
SOUTH SHORE,BLK,70-79,F,1
SOUTH SHORE,BLK,70-79,M,7
SOUTH SHORE,BLK,80+,F,1
SOUTH SHORE,BLK,80+,M,2
SOUTH SHORE,BLK,UNKNOWN,M,3
SOUTH SHORE,I,0-19,M,1
SOUTH SHORE,I,50-59,F,1
SOUTH SHORE,UNKNOWN,0-19,F,1
SOUTH SHORE,UNKNOWN,0-19,M,8
SOUTH SHORE,UNKNOWN,20-29,F,2
SOUTH SHORE,UNKNOWN,20-29,M,3
SOUTH SHORE,UNKNOWN,30-39,M,4
SOUTH SHORE,UNKNOWN,40-49,M,1
SOUTH SHORE,UNKNOWN,50-59,M,1
SOUTH SHORE,UNKNOWN,UNKNOWN,UNKNOWN,22
SOUTH SHORE,WBH,0-19,M,1
SOUTH SHORE,WBH,20-29,M,2
SOUTH SHORE,WBH,30-39,M,1
SOUTH SHORE,WBH,40-49,M,1
SOUTH SHORE,WHI,20-29,F,1
SOUTH SHORE,WHI,20-29,M,1
SOUTH SHORE,WHI,30-39,M,3
SOUTH SHORE,WHI,60-69,M,2
SOUTH SHORE,WWH,0-19,F,1
SOUTH SHORE,WWH,0-19,M,3
SOUTH SHORE,WWH,20-29,F,1
SOUTH SHORE,WWH,20-29,M,5
SOUTH SHORE,WWH,30-39,M,4
SOUTH SHORE,WWH,40-49,F,1
SOUTH SHORE,WWH,40-49,M,2
SOUTH SHORE,WWH,50-59,M,1
SOUTH SHORE,WWH,60-69,M,3
UPTOWN,API,0-19,M,1
UPTOWN,API,20-29,M,1
UPTOWN,API,50-59,M,1
UPTOWN,BLK,0-19,F,7
UPTOWN,BLK,0-19,M,59
UPTOWN,BLK,20-29,F,14
